Gene name,Gene symbol,Entrez Gene ID,Gene family,Disease,Comparative genomics,Cortical marker (mouse),Cortical marker (human),Mouse gene symbol,"Visual
h vs m level","Visual
h vs m pattern","Temporal
h vs m level","Temporal
h vs m pattern",h region difference,h region L4 related?,m region difference,h donor difference,pattern description for Fig 2,level description for Fig 2,Level,Pattern,Level,Pattern,Level,Pattern,Level,Pattern,Level,Pattern,Molecular function ,Biological process,Pathway
"collagen, type XII, alpha 1",COL12A1,1303,extracellular matrix,,,,,Col12a1,,,,,17 ≠ 18 ≠ 21,yes,V1 ≠ TEa,,scattered,medium,+++,"scattered(2/3,5/6)",+++,scattered,+++,scattered,++++,scattered,++++,layer 6+scattered,Extracellular matrix structural protein,Cell communication;Cell adhesion;Skeletal development;Cell structure,Integrin signalling pathway->Collagen;;Inflammation mediated by chemokine and cytokine signaling pathway->ExtraCellular matrix protein;;;
"collagen, type XXIV, alpha 1",COL24A1,255631,extracellular matrix,,,layer 5/6,layer 2/3/5/6,Col24a1,,hV-mV,,hT-mT,,,V1 ≠ TEa,,laminar,high,++++,"layer 2/3,5/6",++++,"layer 2/3,5,6",++++,"layer 2/3,5,6",+++++,"scattered(5,6)",+++++,"scattered(5,6)",Molecular function unclassified,Biological process unclassified,Integrin signalling pathway->Collagen;;
"collagen, type V, alpha 1",COL5A1,1289,extracellular matrix,,,layer 2/3/6,,Col5a1,,hV-mV,,hT-mT,,,,,widespread,high,++++,"ubiquitous(2/3,6)",++++,ubiquitous,++++,ubiquitous,+++++,"layer(2/3),6",+++++,"layer(2/3),6",Extracellular matrix structural protein,Mesoderm development,Integrin signalling pathway->Collagen;;
"collagen, type VI, alpha 1 ",COL6A1,1291,extracellular matrix,,microarray expression,layer 5/6,layer 3/4/5/6,Col6a1,,hV-mV,,hT-mT,17 ≠ 18,no,,,laminar,high,++++,ubiquitous,++++,"ubiquitous(3,4)",++++,"ubiquitous(3,4)",+++++,"layer 2,5d,6",+++++,"layer 2,5d,6",Extracellular matrix structural protein,Cell communication;Cell adhesion;Cell structure,Integrin signalling pathway->Collagen;;Inflammation mediated by chemokine and cytokine signaling pathway->ExtraCellular matrix protein;;;
"collagen, type IX, alpha 3",COL9A3,1299,extracellular matrix,,,,,Col9a3,,,,,,,,,scattered,medium,+++,scattered,+++,scattered,+++,scattered,++++,sparse(5),++++,sparse,Extracellular matrix structural protein,Cell structure,Integrin signalling pathway->Collagen;;
catechol-O-methyltransferase ,COMT,1312,metabolic enzyme,schizophrenia,,,,Comt,,,no mouse coronal data,,,,,,scattered,medium,+++,ubiquitous,+++,ubiquitous,,,++++,ubiquitous,,,Methyltransferase,Neuronal activities;Other metabolism,Dopamine receptor mediated signaling pathway->Catechol-O-Methyl Transferase;;Adrenaline and noradrenaline biosynthesis->Catechol-O-Methyl Transferase;;;
cortistatin,CORT,1325,peptide ligand,,,interneuron,interneuron,Cort,,hV-mV,,hT-mT,,,,,sparse,high,++++,sparse,++++,sparse,++++,sparse (6b),+++++,scattered,+++++,scattered,Neuropeptide,Cell communication,
cytochrome c oxidase subunit VIa polypeptide 2,COX6A2,1339,metabolic enzyme,,,interneuron,,Cox6a2,,hV-mV,,hT-mT,,,,diff,scattered,high,++++,scattered+ubiquitous,++++,scattered+ubiquitous,++++,scattered+ubiquitous,++++,scattered,++++,scattered,Oxidase,Oxidative phosphorylation,
cytochrome c oxidase subunit 8A (ubiquitous),COX8A,1351,metabolic enzyme,,energy demand,,,Cox8a,,,no mouse coronal data,,,,,,widespread,high,++++,scattered+ubiquitous,++++,scattered+ubiquitous,,,++++,ubiquitous,,,Oxidase,Oxidative phosphorylation,
complexin 3,CPLX3,594855,synaptic protein,,,layer 6b,interneuron,Cplx3,,hV-mV,,hT-mT,17 ≠ 18,no,,,scattered,high,++++,"scattered(1,6)",++++,scattered,++++,scattered,++++,layer 6b,++++,layer 6b,Miscellaneous function,Synaptic transmission,
copine VII,CPNE7,27132,signal transduction,,,interneuron/layer5,interneuron/layer5/6,Cpne7,,,,,,,V1 ≠ TEa,,laminar,high,++++,layer 4C+scattered(5/6),++++,"layer 4+scattered(5,6)",++++,"layer 4+scattered(5,6)",+++++,scattered+layer 5s,+++++,"layer 5,6+scattered",Other miscellaneous function protein;Other membrane traffic protein,Intracellular protein traffic,
coproporphyrinogen oxidase ,CPOX,1371,metabolic enzyme,,positive selection,,,Cpox,,,no mouse coronal data,,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,,,++++,scattered+ubiquitous,,,Oxidase,Coenzyme metabolism;Porphyrin metabolism,Heme biosynthesis->Coproporphyrinogen Oxidase (oxygen dependent);;
cereblon ,CRBN,51185,other intracellular,mental retardation,,,,Crbn,h Up,,no mouse coronal data,,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,,,+,sparse to none,,,Protease,Proteolysis,
cAMP responsive element binding protein 1,CREB1,1385,transcription factor,depression,,,,Creb1,,,no mouse coronal data,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,++,ubiquitous,,,CREB transcription factor;Nucleic acid binding,mRNA transcription regulation;Signal transduction;Neuronal activities;Neurogenesis,Transcription regulation by bZIP transcription factor->CREB;;Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway->CREB binding protein;;p38 MAPK pathway->cAMP response element binding protein;;Enkephalin release->cAMP response element binding protein;;Apoptosis signaling pathway->Activating transcription factor;;;;;;
corticotropin releasing hormone,CRH,1392,peptide ligand,depression,,interneuron,,Crh,,hV-mV,,hT-mT,,,,,widespread,high,+++++,ubiquitous+oligodendrocyte,+++++,ubiquitous+oligodendrocyte,+++++,ubiqutous,+++++,scattered,+++++,scattered,Peptide hormone,"Cell communication;Stress response;Other neuronal activity;Regulation of vasoconstriction, dilation",Cortocotropin releasing factor receptor signaling pathway->Pro Corticotropin-releasing factor;;Cortocotropin releasing factor receptor signaling pathway->Corticotropin-releasing factor;;;
corticotropin releasing hormone binding protein,CRHBP,1393,secreted protein,,,interneuron,interneuron,Crhbp,,,,,,,,,scattered,medium,+++,scattered,+++,scattered,+++,scattered,+++++,scattered,+++++,scattered,Other signaling molecule,Ligand-mediated signaling;Other neuronal activity,
corticotropin releasing hormone receptor 1  ,CRHR1,1394,GPCR,depression,,,,Crhr1,,,,,17 ≠ 18,yes,,,widespread,medium,+++,"ubiquitous(2/3,4)",+++,ubiquitous(2/3/4),+++,ubiquitous(2/3/4),+++,"layer 2/3,5s+",+++,"layer 2/3,5s+",G-protein coupled receptor,G-protein mediated signaling;Other neuronal activity;Homeostasis,Cortocotropin releasing factor receptor signaling pathway->CRHR1;;
corticotropin releasing hormone receptor 2  ,CRHR2,1395,GPCR,depression,,,,Crhr2,,hV-mV,,hT-mT,17 ≠ 18,yes,,,scattered,high,++++,"layer(3),4+scattered",+++,"scattered(3,4)",+++,"scattered(3,4)",+++,sparse(6),+++,sparse(6),G-protein coupled receptor,G-protein mediated signaling;Other neuronal activity;Homeostasis,Cortocotropin releasing factor receptor signaling pathway->CRHR1;;
"crystallin, mu",CRYM,1428,other intracellular,,,layer 5/6,layer 2/3/5/6,Crym,,hV-mV,,,17 ≠ 18,yes,V1 ≠ TEa,,laminar,high,+++++,"layer 2/3,5/6",+++++,"layer 2/3,5/6",+++++,"layer 2/3,5/6",++++,"layer 5,6",+++++,"layer 2/3, 4, 5s, 6",Other lyase,Vision,
CUB and Sushi multiple domains 1,CSMD1,64478,other membrane protein,,CNV,,,Csmd1,,,no mouse coronal data,,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,,,++++,ubiquitous,,,Molecular function unclassified,Biological process unclassified,
"casein kinase 1, delta",CSNK1D,1453,kinase,other neurodegenerative,,,,Csnk1d,,,no mouse coronal data,,,,,,widespread,medium,+++,scattered+ubiquitous,+++,scattered+ubiquitous,,,+++,scattered+ubiquitous,,,Non-receptor serine/threonine protein kinase,DNA repair;Protein phosphorylation;Intracellular signaling cascade;Endocytosis;Meiosis;Cytokinesis;Chromosome segregation;Cell proliferation and differentiation;Cell structure,Wnt signaling pathway->Casein Kinase 1;;Circadian clock system->Casine kinase I;;Hedgehog signaling pathway->Casine kinase I ;;Parkinson disease->Casein kinase I;;;;;
cysteine and glycine-rich protein 1,CSRP1,1465,other nuclear protein,,,oligodendrocyte,oligodendrocyte,Csrp1,,,,,,,,,scattered,high,++++,scattered+oligodendrocyte,++++,scattered+oligodendrocyte,++++,scattered+oligodendrocyte,+++++,scattered+oligodendrocyte,+++++,scattered(6)+oligodendrocyte,Actin binding cytoskeletal protein,Immunity and defense;Other developmental process,
cystatin C (amyloid angiopathy and cerebral hemorrhage),CST3,1471,secreted protein,epilepsy,,astrocyte,astrocyte,Cst3,,,,,,,,,scattered,high,+++++,scattered+glial,+++++,scattered+glial,+++++,scattered+glial,+++++,"glial,scattered",+++++,"glial,scattered",Cysteine protease inhibitor,Proteolysis,
cystatin B (stefin B) ,CSTB,1476,other intracellular,epilepsy,,,,Cstb,,,,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,++,ubiquitous,+,ubiquitous,+,ubiquitous,Cysteine protease inhibitor,Proteolysis,
connective tissue growth factor,CTGF,1490,peptide ligand,,,layer 6b,layer 6b,Ctgf,,,,,,,,,laminar,high,+++++,layer 6(b)+scattered,+++++,layer 6(b)+scattered,+++++,"layer 6(b)+scattered (2,3)",+++++,layer 6b+scattered,+++++,layer 6b+scattered,Growth factor;Other signaling molecule,Receptor protein tyrosine kinase signaling pathway;Other receptor mediated signaling pathway;Extracellular matrix protein-mediated signaling,
"catenin (cadherin-associated protein), beta 1, 88kDa",CTNNB1,1499,cell adhesion,,,,,Ctnnb1,,hV-mV,,hT-mT,17 ≠ 18,yes,,,widespread,high,+++,"layer 2/3,4C,5/6",+++++,"ubiquitous(3d,4)",+++++,"ubiquitous(3d,4)",++++,ubiquitous,++++,ubiquitous,Other signaling molecule;Cell adhesion molecule;Cytoskeletal protein,Cell adhesion-mediated signaling,Angiogenesis->Beta-catenin;;Alzheimer disease-presenilin pathway->beta-catenin;;Cadherin signaling pathway->Beta-catenin;;p53 pathway feedback loops 2->beta-catenin;;Wnt signaling pathway->Beta-Catenin;;;;;;
"catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein) ",CTNND2,1501,cell adhesion,mental retardation,,,,Ctnnd2,,,no mouse coronal data,,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,,,+++,ubiquitous,,,Cell adhesion molecule;Other cell junction protein,Cell communication;Cell adhesion,
cathepsin B,CTSB,1508,metabolic enzyme,Alzheimer,,,,Ctsb,,,,,,,,,widespread,high,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,+++++,"layer 2/3,5,6",+++++,"layer 2/3,5,6",Cysteine protease,Proteolysis;Other oncogenesis,
cut-like homeobox 1,CUX1,1523,transcription factor,,,,,Cutl1,,,,,17 ≠ 18 ≠ 21,yes,V1 ≠ TEa,,laminar,high,++++,"layer 2/3,4,6",++,"layer 2/3,6",++++,"layer 2/3,6",++++,"layer 2/3,4+scattered(5,6)",++++,"scattered(4,5,6)+layer 2/3",Homeobox transcription factor;Nucleic acid binding,mRNA transcription regulation;Developmental processes,
cut-like homeobox 2,CUX2,23316,transcription factor,depression,Hapmap,layer 2/3/4,layer 2/3/4,Cutl2,,,,,,,,,laminar,high,++++,"layer 2/3,4",++++,layer 2/3(4),++++,layer 2/3(4),+++++,"layer 2/3,4+scattered",+++++,"layer 2/3,4+scattered",Homeobox transcription factor;Nucleic acid binding,mRNA transcription regulation;Developmental processes,
chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)  ,CXCL12,6387,peptide ligand,,,,,Cxcl12,,,h Down,,,,V1 ≠ TEa,,ND,low,-,none,-,none,-,none,++,ubiquitous,++++,layer 6(5)+scattered,Molecular function unclassified,Biological process unclassified,Axon guidance mediated by Slit/Robo->Sdf1;;
chemokine (C-X-C motif) ligand 14,CXCL14,9547,peptide ligand,,,layer1/2/interneuron/astrocyte,layer1/2/interneuron/astrocyte,Cxcl14,,,,,,,,,scattered,high,+++++,scattered(1),+++++,scattered(1),+++++,scattered(1),+++++,scattered(1),+++++,scattered(1),Molecular function unclassified,Biological process unclassified,
"cytochrome P450, family 26, subfamily B, polypeptide 1",CYP26B1,56603,metabolic enzyme,,,,,Cyp26b1,,,,hT-mT,17 ≠ 18,yes,V1 ≠ TEa,,widespread,medium,+++,"layer 2/3,(4C),5/6",+++,ubiquitous(4),+++,ubiquitous(4),++,ubiquitous,+++,"scattered 5s,6",Oxygenase,Electron transport,
"cytochrome P450, family 39, subfamily A, polypeptide 1",CYP39A1,51302,metabolic enzyme,,,layer 4,,Cyp39a1,,,,,18 ≠ 21,,,diff,laminar,low,-,none,++,layer 3d,++,layer 3d,++,layer 4,-,none,Oxygenase,Cholesterol metabolism;Electron transport,
"cysteine-rich, angiogenic inducer, 61",CYR61,3491,secreted protein,,,layer6/interneuron/astrocyte,layer6/interneuron/astrocyte,Cyr61,,,,,,,,,laminar,high,+++++,"sparse+layer 6(2/3,5)",+++++,"sparse+layer 6(2/3,5)",+++++,"sparse+layer 6(2/3,5)",+++++,scattered+layer 6,+++++,scattered+layer 6,Growth factor,Cell surface receptor mediated signal transduction;Ligand-mediated signaling;Angiogenesis;Cell cycle control;Cell proliferation and differentiation;Other oncogenesis;Cell motility,
D-amino-acid oxidase ,DAO,1610,metabolic enzyme,schizophrenia,,,,Dao1,,,no mouse coronal data,,,,,,ND,low,+,ubiquitous,+,ubiquitous,,,+,ubiquitous,,,Oxidase,Amino acid metabolism,
D-amino acid oxidase activator,DAOA,267012,other intracellular,schizophrenia,,,,,no mouse ortholog,,no mouse ortholog,,,,,,ND,low,-,none,-,none,,,,,,,Molecular function unclassified,Biological process unclassified,
dopamine beta-hydroxylase (dopamine beta-monooxygenase),DBH,1621,metabolic enzyme,Parkinson,,,,Dbh,,,,,,,,,ND,low,+,ubiquitous,+,ubiquitous,+,ubiquitous,+,sparse to none,+,sparse to none,Oxygenase;Hydroxylase,Synaptic transmission;Other metabolism,Dopamine receptor mediated signaling pathway->Dopamine beta-hydroxylase;;Adrenaline and noradrenaline biosynthesis->Dopamine beta-hydroxylase;;;
drebrin 1,DBN1,1627,cytoskeletal protein,Alzheimer,,,,Dbn1,,,,,,,,,widespread,high,+++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,Non-motor actin binding protein,Cell structure,
"doublecortex; lissencephaly, X-linked (doublecortin)",DCX,1641,cytoskeletal protein,mental retardation,,,,Dcx,,,no mouse coronal data,,,,,,ND,low,-,none,-,none,,,+,sparse to none,,,Non-motor microtubule binding protein,Signal transduction;Neurogenesis;Cell structure,
dopa decarboxylase,DDC,1644,metabolic enzyme,Parkinson,,,,Ddc,,,,,,,,,ND,low,+,ubiquitous,+,ubiquitous,+,ubiquitous,+,sparse to none,+,sparse to none,Decarboxylase,Other amino acid metabolism,Adrenaline and noradrenaline biosynthesis->Aromatic L-amino acid decarboxylase;;Dopamine receptor mediated signaling pathway->Aromatic L-amino acid decarboxylase;;5-Hydroxytryptamine biosynthesis->Aromatic L-amino acid decarboxylase;;Histamine synthesis->Histidine Decarboxylase;;;;;
DNA-damage-inducible transcript 4-like,DDIT4L,115265,signal transduction,,,layer 2/3/4,,Ddit4l,h Down,,h Down,,,,V1 ≠ TEa,,ND,low,-,none,-,none,-,none,++++,"layer 2/3,4",++++,"layer 3,4(6)+5 scattered",Molecular function unclassified,Biological process unclassified,
D-dopachrome tautomerase,DDT,1652,metabolic enzyme,,,,,Ddt,,,,,,,,,scattered,medium,+++,scattered+ubiquitous,+++,scattered+ubiquitous,+++,scattered+ubiquitous,+++,sparse,+++,sparse,Isomerase,Macrophage-mediated immunity,
"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 (CHL1-like helicase homolog, S. cerevisiae)",DDX11,1663,other nuclear protein,,HLS: (IMAGE clone ID)470930,,,Ddx11,h Up,,no mouse coronal data,,,,,,widespread,high,++++,ubiquitous,++++,ubiquitous,,,++,ubiquitous,,,DNA helicase,Chromosome segregation,
"2,4-dienoyl CoA reductase 1, mitochondrial ",DECR1,1666,metabolic enzyme,,,,,Decr1,,,,,,,,,ND,low,+,ubiquitous,+,ubiquitous,+,ubiquitous,+,sparse to none,+,sparse to none,Dehydrogenase;Reductase,Fatty acid beta-oxidation,
DEP domain containing 6,DEPDC6,64798,signal transduction,,,layer 5,,Depdc6,,hV-mV,,hT-mT,,,,,scattered,medium,++,scattered,++,scattered,++,scattered,++++,layer 5,++++,layer 5,Other miscellaneous function protein,Miscellaneous,
"deafness, autosomal recessive 31",DFNB31,25861,cytoskeletal protein,deafness,,layer 4/5,,Whrn,,hV-mV,,hT-mT,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,++,ubiquitous,+++++,"layer 4,5s+scattered",+++++,"layer 4,5s+scattered",Cytoskeletal protein,Hearing,
7-dehydrocholesterol reductase,DHCR7,1717,metabolic enzyme,autism,,,,Dhcr7,,,no mouse coronal data,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,+++,ubiquitous,,,Reductase,"Lipid, fatty acid and steroid metabolism",
DEAH (Asp-Glu-Ala-His) box polypeptide 9,DHX9,1660,other nuclear protein,,positive selection,,,Dhx9,,,no mouse coronal data,,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,,,++++,ubiquitous,,,RNA helicase,mRNA splicing,
disrupted in schizophrenia 1 ,DISC1,27185,signal transduction,schizophrenia,,,layer 1,Disc1,,hV-mV,no mouse coronal data,,,,,diff,laminar,low,-,none,++++,layer 1+,,,+,scattered+ubiquitous,,,Molecular function unclassified,Biological process unclassified,
"dyskeratosis congenita 1, dyskerin",DKC1,1736,other nuclear protein,microcephaly,,,,BC068171,,,no mouse coronal data,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,++,ubiquitous,,,Centromere DNA-binding protein;Synthase,rRNA metabolism;Chromosome segregation,
dickkopf homolog 3 (Xenopus laevis),DKK3,27122,secreted protein,,,,,Dkk3,,,,hT-mT,17 ≠ 18,yes,V1 ≠ TEa,,widespread,high,+++++,"ubiquitous(2/3,4C,5/6)",+++++,"ubiquitous(2/3,5/6)",+++++,"ubiquitous(2/3,5/6)",+++++,ubiquitous,+++++,layer 6+5 scattered,Molecular function unclassified,Biological process unclassified,
deleted in lung and esophageal cancer 1,DLEC1,9940,other intracellular,,positive selection,,,Dlec1,,,no mouse coronal data,,,,,,ND,low,+,ubiquitous,+,ubiquitous,,,+,sparse to none,,,Molecular function unclassified,Tumor suppressor,
"discs, large homolog 1 (Drosophila)",DLG1,1739,synaptic protein,,,,,Dlgh1,,,no mouse coronal data,,,,,,widespread,high,++++,ubiquitous,++++,ubiquitous,,,+++++,ubiquitous,,,Transmembrane receptor regulatory/adaptor protein,Other receptor mediated signaling pathway;Asymmetric protein localization;Nerve-nerve synaptic transmission,
"discs, large homolog 2, chapsyn-110 (Drosophila)",DLG2,1740,synaptic protein,,,,,Dlgh2,,,,,17 ≠ 18,yes,,,widespread,medium,+++,"ubiquitous(2/3,5/6)",+++,ubiquitous,+++,ubiquitous,++++,ubiquitous,++++,ubiquitous,Molecular function unclassified,Synaptic transmission,
"discs, large homolog 3 (neuroendocrine-dlg, Drosophila)",DLG3,1741,synaptic protein,mental retardation,,,,Dlgh3,,,,,17 ≠ 18,yes,,,widespread,medium,+++,"ubiquitous(2/3,5/6)",+++,ubiquitous,+++,ubiquitous,++,ubiquitous,++,ubiquitous,Transmembrane receptor regulatory/adaptor protein,Other receptor mediated signaling pathway;Nerve-nerve synaptic transmission,
"discs, large homolog 4 (Drosophila)",DLG4,1742,synaptic protein,,,,,Dlgh4,,,,,,,,,widespread,high,+++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,++++,"layer 2/3,5,6",++++,"layer 2/3,5,6",Transmembrane receptor regulatory/adaptor protein,Other receptor mediated signaling pathway;Nerve-nerve synaptic transmission,Huntington disease->Postsynaptic density 95;;
"discs, large homolog 5 (Drosophila)",DLG5,9231,synaptic protein,,,,,Dlg5,,,no mouse coronal data,,,,,,widespread,high,++++,ubiquitous(4C),++++,ubiquitous(4),,,++,ubiquitous,,,Tight junction,Cell structure,
"discs, large (Drosophila) homolog-associated protein 1",DLGAP1,9229,synaptic protein,,,,,Dlgap1,,,,,,,,,widespread,high,+++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,Transmembrane receptor regulatory/adaptor protein,Neuronal activities;Developmental processes,
"discs, large (Drosophila) homolog-associated protein 2",DLGAP2,9228,synaptic protein,,,,,Dlgap2,,,,,,,,,widespread,high,++++,ubiquitous,++++,ubiquitous,++++,ubiquitous,++++,ubiquitous,++++,ubiquitous,Transmembrane receptor regulatory/adaptor protein,Neuronal activities;Developmental processes,
